Attribute_ID,Attribute_Name,mA,Precision,Recall,F1
00,Age-Young,0.7197,0.3164,0.4513,0.3720
01,Age-Adult,0.8149,0.9862,0.9766,0.9814
02,Age-Old,0.8670,0.6302,0.7454,0.6830
03,Gender-Female,0.9102,0.9021,0.8926,0.8974
04,Hair-Length-Short,0.8877,0.9262,0.9160,0.9211
05,Hair-Length-Long,0.8885,0.8621,0.8369,0.8493
06,Hair-Length-Bald,0.6856,0.3842,0.3794,0.3818
07,UpperBody-Length-Short,0.9218,0.9301,0.9478,0.9389
08,UpperBody-Color-Black,0.8993,0.8338,0.8617,0.8475
09,UpperBody-Color-Blue,0.8570,0.6771,0.7463,0.7100
10,UpperBody-Color-Brown,0.8729,0.3702,0.7756,0.5012
11,UpperBody-Color-Green,0.8771,0.6399,0.7728,0.7001
12,UpperBody-Color-Grey,0.7664,0.6674,0.5910,0.6268
13,UpperBody-Color-Orange,0.9064,0.4380,0.8196,0.5709
14,UpperBody-Color-Pink,0.7825,0.3938,0.5755,0.4676
15,UpperBody-Color-Purple,0.8517,0.4277,0.7281,0.5388
16,UpperBody-Color-Red,0.9152,0.6820,0.8587,0.7602
17,UpperBody-Color-White,0.8770,0.7430,0.8349,0.7863
18,UpperBody-Color-Yellow,0.9117,0.7158,0.8395,0.7727
19,UpperBody-Color-Other,0.7318,0.5959,0.4900,0.5378
20,LowerBody-Length-Short,0.9486,0.9305,0.9336,0.9320
21,LowerBody-Color-Black,0.8682,0.8852,0.8463,0.8653
22,LowerBody-Color-Blue,0.7982,0.7040,0.6547,0.6785
23,LowerBody-Color-Brown,0.8807,0.3991,0.8162,0.5361
24,LowerBody-Color-Green,0.6945,0.4723,0.3951,0.4303
25,LowerBody-Color-Grey,0.7771,0.5962,0.6450,0.6196
26,LowerBody-Color-Orange,0.8273,0.3770,0.6571,0.4792
27,LowerBody-Color-Pink,0.8399,0.4360,0.6927,0.5352
28,LowerBody-Color-Purple,0.8059,0.1280,0.6154,0.2119
29,LowerBody-Color-Red,0.8724,0.2663,0.7538,0.3936
30,LowerBody-Color-White,0.8470,0.4359,0.7366,0.5477
31,LowerBody-Color-Yellow,0.8226,0.1168,0.6538,0.1982
32,LowerBody-Color-Other,0.6471,0.4938,0.3056,0.3775
33,LowerBody-Type-Trousers&Shorts,0.8564,0.9735,0.9677,0.9706
34,LowerBody-Type-Skirt&Dress,0.8505,0.6654,0.7392,0.7003
35,Accessory-Backpack,0.8218,0.7310,0.7104,0.7206
36,Accessory-Bag,0.7434,0.6272,0.6516,0.6391
37,Accessory-Glasses-Normal,0.7621,0.4385,0.6563,0.5257
38,Accessory-Glasses-Sun,0.6519,0.2520,0.3266,0.2845
39,Accessory-Hat,0.8427,0.7537,0.6958,0.7236
