frame_id,track_id,x1,y1,x2,y2,confidence,timestamp
21,1,181.87,284.86,350.31,429.83,0.7997,1.75
22,1,178.34,265.68,367.32,429.3,0.7279,1.833
23,1,174.16,239.0,391.48,429.4,0.8958,1.917
24,1,173.82,220.82,407.64,429.29,0.8613,2.0
25,1,179.13,208.91,420.89,429.47,0.8946,2.083
26,1,182.53,197.99,429.53,429.65,0.8876,2.167
27,1,183.99,182.24,438.0,428.46,0.886,2.25
28,1,190.09,169.29,442.68,423.12,0.861,2.333
29,1,204.45,154.97,448.62,410.19,0.8963,2.417
30,1,215.52,144.66,453.11,403.89,0.9098,2.5
31,1,226.26,138.04,456.56,400.62,0.9126,2.583
32,1,235.43,134.04,457.27,398.35,0.9121,2.667
33,1,245.59,128.01,457.04,391.72,0.9219,2.75
34,1,255.29,121.13,456.84,384.94,0.9189,2.833
35,1,271.91,111.87,455.37,364.36,0.9088,2.917
36,1,286.58,105.02,451.85,343.91,0.8948,3.0
37,1,300.52,99.66,452.54,329.79,0.8774,3.083
38,1,309.75,97.94,453.66,324.46,0.8614,3.167
39,1,319.42,96.47,457.09,320.8,0.6945,3.25
40,1,328.5,95.42,458.96,314.59,0.8512,3.333
41,1,342.42,91.29,465.58,303.82,0.7263,3.417
42,1,358.01,86.7,472.38,289.54,0.7586,3.5
43,1,376.19,84.11,485.52,284.64,0.9058,3.583
44,1,389.3,83.39,494.71,282.94,0.8985,3.667
45,1,400.28,85.23,502.45,282.01,0.8685,3.75
46,1,406.88,86.04,507.24,281.27,0.8497,3.833
47,1,416.68,83.48,517.07,280.64,0.8085,3.917
48,1,429.28,79.85,526.05,271.95,0.8108,4.0
49,1,448.48,77.18,541.34,264.87,0.8571,4.083
50,1,461.66,77.61,551.86,262.74,0.8129,4.167
51,1,471.11,78.63,559.14,259.6,0.6325,4.25
52,1,477.42,80.2,564.84,258.47,0.7219,4.333
53,1,485.56,80.99,572.71,255.86,0.8276,4.417
54,1,493.0,81.18,581.46,256.02,0.7516,4.5
55,1,511.12,79.61,598.37,252.28,0.856,4.583
56,1,525.38,78.74,611.91,251.33,0.8999,4.667
57,1,536.89,80.38,622.35,251.36,0.9178,4.75
58,1,543.7,83.45,628.2,251.36,0.9237,4.833
59,1,551.12,85.59,635.59,251.25,0.921,4.917
60,1,558.4,85.61,643.12,249.62,0.9011,5.0
61,1,572.89,84.38,656.69,246.07,0.8929,5.083
62,1,586.38,84.05,669.87,246.59,0.7287,5.167
63,1,596.45,84.05,679.95,247.57,0.7223,5.25
64,1,602.74,86.45,684.7,245.82,0.8216,5.333
65,1,609.27,90.08,690.06,244.15,0.8091,5.417
66,1,614.48,92.45,695.41,243.71,0.6737,5.5
67,1,621.98,91.38,704.52,243.64,0.6244,5.583
68,1,632.34,91.28,714.96,242.91,0.7884,5.667
69,1,645.87,90.77,727.7,242.31,0.8651,5.75
70,1,653.17,91.88,733.76,241.89,0.9014,5.833
71,1,657.75,94.97,737.09,242.01,0.8882,5.917
72,1,662.1,96.53,740.79,241.21,0.8832,6.0
73,1,670.56,96.1,748.57,238.86,0.8837,6.083
74,1,680.42,96.05,755.86,234.34,0.8335,6.167
75,1,689.1,95.23,764.89,234.6,0.5991,6.25
76,1,693.43,96.13,768.0,233.44,0.7526,6.333
181,2,423.66,356.07,531.0,431.76,0.7216,15.083
182,2,400.05,334.27,536.62,430.83,0.8499,15.167
183,2,379.66,316.22,541.12,431.09,0.8486,15.25
183,4,149.44,303.21,319.24,431.67,0.8245,15.25
184,2,353.74,297.46,539.15,430.85,0.8912,15.333
184,4,142.42,289.11,328.55,430.35,0.8566,15.333
185,2,334.9,282.4,537.93,430.92,0.892,15.417
185,4,134.11,275.3,336.83,430.21,0.8453,15.417
186,2,317.88,266.8,536.35,430.41,0.903,15.5
186,4,124.26,258.6,345.34,429.76,0.8626,15.5
187,2,305.05,252.92,534.67,430.02,0.8969,15.583
187,4,115.96,243.87,351.97,429.84,0.8855,15.583
188,2,290.69,235.49,534.19,429.99,0.8508,15.667
188,4,109.95,226.4,362.56,429.93,0.8979,15.667
189,2,280.79,222.34,530.69,429.8,0.8792,15.75
189,4,108.1,215.29,367.51,429.8,0.9118,15.75
190,2,271.9,209.95,524.86,428.95,0.8869,15.833
190,4,102.82,200.26,371.73,429.83,0.9077,15.833
191,2,267.65,200.84,519.59,428.84,0.9081,15.917
191,4,102.04,189.08,374.34,429.95,0.9097,15.917
192,2,264.8,191.0,511.57,424.78,0.863,16.0
192,4,102.77,179.73,374.1,429.59,0.8998,16.0
193,2,262.75,183.97,506.99,426.64,0.876,16.083
193,4,106.01,172.86,373.38,429.74,0.8934,16.083
194,2,260.94,176.98,500.76,427.72,0.8819,16.167
194,4,110.25,163.72,374.63,429.73,0.8918,16.167
195,2,260.93,168.93,494.45,426.22,0.7831,16.25
195,4,114.59,155.07,374.6,429.46,0.8876,16.25
196,2,259.7,158.82,490.21,427.14,0.8819,16.333
196,4,118.91,145.45,374.41,428.85,0.8777,16.333
197,2,266.03,151.2,480.46,414.12,0.8857,16.417
197,4,124.33,136.92,370.65,423.94,0.8669,16.417
198,2,272.73,143.18,466.48,392.46,0.9039,16.5
198,4,134.39,129.27,361.3,406.31,0.8861,16.5
199,2,277.15,138.29,454.85,377.81,0.9137,16.583
199,4,140.38,123.51,353.63,396.23,0.8839,16.583
200,2,275.59,133.96,444.58,372.79,0.7797,16.667
